id,name,latitude,longitude
U111,회룡,37.7250156,127.0471082
U112,범골,37.728796,127.0436639
U113,경전철의정부,37.7373859,127.043314
U114,의정부시청,37.7392416,127.0348664
U115,흥선,37.7432842,127.0371212
U117,의정부중앙,37.7436839,127.0496634
U118,동오,37.7452685,127.056979
U119,새말,37.7488688,127.0637846
U120,경기도청북부청사,37.7507731,127.0716075
U121,효자,37.7539992,127.0772808
U122,곤제,37.7505337,127.083846
U123,어룡,37.7426961,127.0852263
U124,송산,37.737262,127.0872261
U125,탑석,37.7334668,127.0889285
555,미사역,37.5631234,127.1932345
556,하남풍산역,37.5512453,127.2031234
107,풍무역,37.61243514,126.7324441
108,고촌역,37.60121656,126.7703242
109,김포공항역,37.56233524,126.8019511
Y110,기흥역,37.275657,127.115944
Y111,강남대역,37.270171,127.126023
Y112,지석역,37.269691,127.1366815
Y113,어정역,37.275311,127.143774
Y114,동백역,37.269111,127.152716
Y115,초당역,37.260823,127.159465
Y116,삼가역,37.242103,127.168141
Y117,시청-용인대역,37.239426,127.178856
Y118,명지대역,37.2380254,127.1911514
Y119,김량장역,37.237293,127.198671
Y120,운동장-송담대역,37.237891,127.209046
Y121,고진역,37.244643,127.214168
Y122,보평역,37.2589472,127.218533
Y123,둔전역,37.267201,127.213619
Y124,전대-에버랜드역,37.285405,127.219491
155,동대문,37.57129132,127.0101189
156,신설동,37.57528723,127.0249104
157,제기동,37.57812027,127.0344966
158,청량리,37.5801441,127.0457768
159,동묘앞,37.57253741,127.0155932
200,까치산,37.53168373,126.8467432
201,시청,37.56461852,126.9760864
202,을지로입구,37.56597747,126.9825045
203,을지로3가,37.56634826,126.991482
204,을지로4가,37.56682797,126.9979016
217,잠실새내,37.51141143,127.0860068
218,종합운동장,37.51106095,127.073542
219,삼성,37.5086936,127.063165
220,선릉,37.50437895,127.0486966
221,역삼,37.50054496,127.0363944
222,강남,37.49720244,127.0280537
223,교대,37.49320061,127.0142237
224,서초,37.49178284,127.0075972
225,방배,37.48130245,126.997636
226,사당,37.4767992,126.9816245
227,낙성대,37.47692607,126.9636002
228,서울대입구,37.48103059,126.9526269
229,봉천,37.48245978,126.9418478
230,신림,37.48420085,126.9295937
231,신대방,37.48741288,126.9135942
232,구로디지털단지,37.48516215,126.9014847
233,대림,37.49307207,126.8957105
234,신도림,37.50874994,126.8912511
235,문래,37.51779736,126.8945439
236,영등포구청,37.52524847,126.8958333
237,당산,37.53425753,126.9024241
238,합정,37.54959888,126.9141239
239,홍대입구,37.55701523,126.9249829
240,신촌,37.555342,126.9368826
241,이대,37.55672128,126.945801
242,아현,37.55721977,126.9561295
243,충정로,37.56022847,126.9634503
244,용답,37.56183232,127.050871
245,신답,37.56961893,127.0468598
246,신설동,37.57519632,127.0248584
247,도림천,37.51420522,126.8827022
248,양천구청,37.51205148,126.8656075
249,신정네거리,37.51999688,126.8528986
250,용두,37.57389197,127.0379098
309,지축,37.64793834,126.9137407
310,구파발,37.63664912,126.9187832
311,연신내,37.61881292,126.9208158
312,불광,37.61013354,126.9296281
313,녹번,37.60085525,126.935753
314,홍제,37.58852355,126.944165
315,무악재,37.58211864,126.9501814
316,독립문,37.57448506,126.9578508
317,경복궁,37.57560542,126.9734832
318,안국,37.57666379,126.9854787
319,종로3가,37.57139366,126.9914115
320,을지로3가,37.56634826,126.991482
321,충무로,37.56140209,126.9943556
322,동대입구,37.55883276,127.0052813
323,약수,37.5544519,127.0104682
324,금호,37.54800401,127.0156615
325,옥수,37.5414877,127.0177608
326,압구정,37.52668639,127.0283697
327,신사,37.51618776,127.020092
328,잠원,37.51282982,127.0112442
329,고속터미널,37.50436623,127.0049403
2543,답십리,37.56690598,127.0524701
330,교대,37.49320061,127.0140237
331,남부터미널,37.48482472,127.0161898
332,양재,37.48381174,127.0345768
333,매봉,37.48684644,127.0467037
334,도곡,37.49082524,127.0553484
335,대치,37.4942795,127.0632665
336,학여울,37.49655351,127.0713676
337,대청,37.49346096,127.079515
338,일원,37.48382242,127.0843143
339,수서,37.48716257,127.101553
340,가락시장,37.49276539,127.1178996
341,경찰병원,37.49576539,127.1242996
342,오금,37.50216539,127.1278996
409,당고개,37.67032572,127.0789555
410,상계,37.66090497,127.0731287
411,노원,37.6551493,127.0624948
412,창동,37.65312232,127.0476886
413,쌍문,37.64853159,127.0345002
414,수유,37.63796529,127.0254433
415,미아,37.62657144,127.0258287
416,미아사거리,37.61325241,127.0298981
417,길음,37.6035085,127.0249611
418,성신여대입구,37.5927377,127.0163071
419,한성대입구,37.58838493,127.0059994
420,혜화,37.58228892,127.0016857
421,동대문,37.57089132,127.0101189
422,동대문역사문화공원,37.56507829,127.0071679
423,충무로,37.56120209,126.9943556
424,명동,37.56075073,126.9862482
425,회현,37.55851662,126.9781303
426,서울역,37.55356539,126.9724996
427,숙대입구,37.54467788,126.9719943
428,삼각지,37.53475857,126.9734308
429,신용산,37.5292129,126.9677003
