id,name,latitude,longitude,passenger
321,능곡,37.618741,126.82084499999999,473.58333330000005
2824,단대오거리,37.44512808,127.1566517,1203.0
259,달월,37.379993,126.74543100000001,13.0
2543,답십리,37.56690598,127.0524701,1625.0
409,당고개,37.67032572,127.07895549999999,1637.25
237,당산,37.53425753,126.90242409999999,2335.666667
151,당정,37.343379999999996,126.948388,729.0
322,대곡,37.631629,126.811025,226.66666669999998
437,대공원,37.435724,127.006474,1619.416667
233,대림,37.49307207,126.89571049999999,3113.666667
220,대모산입구,37.491347,127.072702,492.5
137,대방,37.513391999999996,126.92640700000001,1361.916667
131,대성리,37.683909,127.37916499999999,122.5
446,대야미,37.328303999999996,126.91716100000001,652.5833332999999
337,대청,37.49346096,127.07951499999999,985.1666667000002
335,대치,37.4942795,127.0632665,1472.166667
